Country or Area,Item,Year,Value
Bermuda,GDP per capita (current US$),2019,117098.446325474
Bermuda,GDP per capita (current US$),2020,
Bolivia,GDP per capita (current US$),2018,3548.59078021899
Bolivia,GDP per capita (current US$),2019,3552.06814383653
Bolivia,GDP per capita (current US$),2020,3143.04549424189
Brazil,GDP per capita (current US$),2018,9151.44525254365
Brazil,GDP per capita (current US$),2019,8897.48777044292
Brazil,GDP per capita (current US$),2020,6796.84454227877
Barbados,GDP per capita (current US$),2018,17745.2553725928
Barbados,GDP per capita (current US$),2019,18148.4978451054
Barbados,GDP per capita (current US$),2020,15191.1640353411
Brunei Darussalam,GDP per capita (current US$),2018,31628.4762566009
Brunei Darussalam,GDP per capita (current US$),2019,31085.9618860822
Brunei Darussalam,GDP per capita (current US$),2020,27466.3396414199
Bhutan,GDP per capita (current US$),2018,3243.47743748718
Bhutan,GDP per capita (current US$),2019,3316.16702210577
Bhutan,GDP per capita (current US$),2020,3122.37606234724
Botswana,GDP per capita (current US$),2018,8279.81845660293
Botswana,GDP per capita (current US$),2019,7970.79696800641
Botswana,GDP per capita (current US$),2020,6710.990411266
Central African Republic,GDP per capita (current US$),2018,475.953849512777
Central African Republic,GDP per capita (current US$),2019,467.908021751942
Central African Republic,GDP per capita (current US$),2020,476.851112719857
Canada,GDP per capita (current US$),2018,46454.7433947203
Canada,GDP per capita (current US$),2019,46326.6726375572
Canada,GDP per capita (current US$),2020,43241.6178282827
Central Europe and the Baltics,GDP per capita (current US$),2018,16034.7149702111
Central Europe and the Baltics,GDP per capita (current US$),2019,16294.3770005943
Central Europe and the Baltics,GDP per capita (current US$),2020,16082.4577103005
Switzerland,GDP per capita (current US$),2018,86429.5008163592
Switzerland,GDP per capita (current US$),2019,85300.3479700289
Switzerland,GDP per capita (current US$),2020,86601.5564126289
Channel Islands,GDP per capita (current US$),2018,
Channel Islands,GDP per capita (current US$),2019,
Channel Islands,GDP per capita (current US$),2020,
Chile,GDP per capita (current US$),2018,15888.144355398
Chile,GDP per capita (current US$),2019,14741.7144039954
Chile,GDP per capita (current US$),2020,13231.7042069383
China,GDP per capita (current US$),2018,9976.677137263
China,GDP per capita (current US$),2019,10216.6303341031
China,GDP per capita (current US$),2020,10500.3956159637
Cote d'Ivoire,GDP per capita (current US$),2018,2314.05095836881
Cote d'Ivoire,GDP per capita (current US$),2019,2276.3323939018
Cote d'Ivoire,GDP per capita (current US$),2020,2325.72370502247
Cameroon,GDP per capita (current US$),2018,1534.49224145452
Cameroon,GDP per capita (current US$),2019,1507.44979812212
Cameroon,GDP per capita (current US$),2020,1499.37284272297
"Congo, Dem. Rep.",GDP per capita (current US$),2018,557.064411697928
"Congo, Dem. Rep.",GDP per capita (current US$),2019,580.716860516731
"Congo, Dem. Rep.",GDP per capita (current US$),2020,556.813185299175
"Congo, Rep.",GDP per capita (current US$),2018,2601.41048286237
"Congo, Rep.",GDP per capita (current US$),2019,2359.17730900034
"Congo, Rep.",GDP per capita (current US$),2020,1972.54524619093
Colombia,GDP per capita (current US$),2018,6729.58333198168
Colombia,GDP per capita (current US$),2019,6424.9794924083
Colombia,GDP per capita (current US$),2020,5332.77352412685
Comoros,GDP per capita (current US$),2018,1415.95516376531
Comoros,GDP per capita (current US$),2019,1370.14012347374
Comoros,GDP per capita (current US$),2020,1402.59548928279
Cabo Verde,GDP per capita (current US$),2018,3617.34744544679
Cabo Verde,GDP per capita (current US$),2019,3603.77524058462
Cabo Verde,GDP per capita (current US$),2020,3064.27238842819
Costa Rica,GDP per capita (current US$),2018,12468.5752921871
Costa Rica,GDP per capita (current US$),2019,12669.7060822563
Costa Rica,GDP per capita (current US$),2020,12076.8145138494
Caribbean small states,GDP per capita (current US$),2018,10250.434070083
Caribbean small states,GDP per capita (current US$),2019,10355.4076837653
Caribbean small states,GDP per capita (current US$),2020,9192.76780070435
Cuba,GDP per capita (current US$),2018,8824.19400843842
Cuba,GDP per capita (current US$),2019,9099.67314552171
Cuba,GDP per capita (current US$),2020,
Curacao,GDP per capita (current US$),2018,19630.8934873019
Curacao,GDP per capita (current US$),2019,19701.270377457
Curacao,GDP per capita (current US$),2020,
Cayman Islands,GDP per capita (current US$),2018,86059.7392168454
Cayman Islands,GDP per capita (current US$),2019,91392.6425875166
Cayman Islands,GDP per capita (current US$),2020,
Cyprus,GDP per capita (current US$),2018,29089.4713273857
Cyprus,GDP per capita (current US$),2019,28288.4615757198
Cyprus,GDP per capita (current US$),2020,26623.8008913181
Czech Republic,GDP per capita (current US$),2018,23419.7356136502
Czech Republic,GDP per capita (current US$),2019,23490.3984633494
Czech Republic,GDP per capita (current US$),2020,22762.1971366777
Germany,GDP per capita (current US$),2018,47787.1605074447
Germany,GDP per capita (current US$),2019,46467.5162023856
Germany,GDP per capita (current US$),2020,45723.6441039328
Djibouti,GDP per capita (current US$),2018,3141.87938930772
Djibouti,GDP per capita (current US$),2019,3414.93539272302
Djibouti,GDP per capita (current US$),2020,3425.50345047077
Dominica,GDP per capita (current US$),2018,7693.77145274166
Dominica,GDP per capita (current US$),2019,8001.99709513435
Dominica,GDP per capita (current US$),2020,6526.79321540707
Denmark,GDP per capita (current US$),2018,61598.5367043936
Denmark,GDP per capita (current US$),2019,60213.0921454746
Denmark,GDP per capita (current US$),2020,60908.8351349442
Dominican Republic,GDP per capita (current US$),2018,8050.64407623416
Dominican Republic,GDP per capita (current US$),2019,8282.11713050921
Dominican Republic,GDP per capita (current US$),2020,7268.1969096591
Algeria,GDP per capita (current US$),2018,4153.95623446741
Algeria,GDP per capita (current US$),2019,3975.5089933335
Algeria,GDP per capita (current US$),2020,3310.38653352368
East Asia & Pacific (excluding high income),GDP per capita (current US$),2018,7968.08997474566
East Asia & Pacific (excluding high income),GDP per capita (current US$),2019,8194.265111576
East Asia & Pacific (excluding high income),GDP per capita (current US$),2020,8291.74597603781
Early-demographic dividend,GDP per capita (current US$),2018,3526.97504394987
Early-demographic dividend,GDP per capita (current US$),2019,3581.13274029158
Early-demographic dividend,GDP per capita (current US$),2020,3254.96941094267
East Asia & Pacific,GDP per capita (current US$),2018,11318.8403574781
East Asia & Pacific,GDP per capita (current US$),2019,11499.6346661356
East Asia & Pacific,GDP per capita (current US$),2020,
Europe & Central Asia (excluding high income),GDP per capita (current US$),2018,8206.59666055713
Europe & Central Asia (excluding high income),GDP per capita (current US$),2019,8337.8574220048
Europe & Central Asia (excluding high income),GDP per capita (current US$),2020,7656.59391905151
Europe & Central Asia,GDP per capita (current US$),2018,25221.7608639911
Europe & Central Asia,GDP per capita (current US$),2019,24791.4490978876
Europe & Central Asia,GDP per capita (current US$),2020,23780.3884700839
Ecuador,GDP per capita (current US$),2018,6295.93466163992
Ecuador,GDP per capita (current US$),2019,6222.52465327248
Ecuador,GDP per capita (current US$),2020,5600.38961495341
"Egypt, Arab Rep.",GDP per capita (current US$),2018,2537.12518504712
"Egypt, Arab Rep.",GDP per capita (current US$),2019,3019.09228346646
"Egypt, Arab Rep.",GDP per capita (current US$),2020,3547.87084813809
Euro area,GDP per capita (current US$),2018,39997.554747509
Euro area,GDP per capita (current US$),2019,39042.5049702801
Euro area,GDP per capita (current US$),2020,37712.1208258145
Eritrea,GDP per capita (current US$),2018,
Eritrea,GDP per capita (current US$),2019,
Eritrea,GDP per capita (current US$),2020,
Spain,GDP per capita (current US$),2018,30374.5210439089
Spain,GDP per capita (current US$),2019,29564.7448981723
Spain,GDP per capita (current US$),2020,27057.1635151239
Estonia,GDP per capita (current US$),2018,23159.3924948461
Estonia,GDP per capita (current US$),2019,23717.7994512337
Estonia,GDP per capita (current US$),2020,23312.2763272181
Ethiopia,GDP per capita (current US$),2018,771.524866349431
Ethiopia,GDP per capita (current US$),2019,855.760885186903
Ethiopia,GDP per capita (current US$),2020,936.340461064749
European Union,GDP per capita (current US$),2018,35703.6895347268
European Union,GDP per capita (current US$),2019,34960.0156237147
European Union,GDP per capita (current US$),2020,33927.7188969154
Fragile and conflict affected situations,GDP per capita (current US$),2018,2021.72579124927
Fragile and conflict affected situations,GDP per capita (current US$),2019,2107.42382393339
Fragile and conflict affected situations,GDP per capita (current US$),2020,1864.57941018718
Finland,GDP per capita (current US$),2018,50013.2942027626
Finland,GDP per capita (current US$),2019,48711.5642079496
Finland,GDP per capita (current US$),2020,49041.3422565659
Fiji,GDP per capita (current US$),2018,6317.43779853596
Fiji,GDP per capita (current US$),2019,6175.87484121767
Fiji,GDP per capita (current US$),2020,4881.52606919802
France,GDP per capita (current US$),2018,41526.4146584125
France,GDP per capita (current US$),2019,40380.0987725432
France,GDP per capita (current US$),2020,38625.0673845578
Faroe Islands,GDP per capita (current US$),2018,62918.1461936121
Faroe Islands,GDP per capita (current US$),2019,64225.2649049837
Faroe Islands,GDP per capita (current US$),2020,
"Micronesia, Fed. Sts.",GDP per capita (current US$),2018,3568.291015625
"Micronesia, Fed. Sts.",GDP per capita (current US$),2019,3585.42320162374
"Micronesia, Fed. Sts.",GDP per capita (current US$),2020,
Gabon,GDP per capita (current US$),2018,7956.62781558686
Gabon,GDP per capita (current US$),2019,7767.01697942954
Gabon,GDP per capita (current US$),2020,7005.87909704756
United Kingdom,GDP per capita (current US$),2018,42992.8037216089
United Kingdom,GDP per capita (current US$),2019,42354.4146545765
United Kingdom,GDP per capita (current US$),2020,40284.6384553276
Georgia,GDP per capita (current US$),2018,4722.78778321766
Georgia,GDP per capita (current US$),2019,4697.98365238984
Georgia,GDP per capita (current US$),2020,4278.86077091661
Ghana,GDP per capita (current US$),2018,2194.23247709545
Ghana,GDP per capita (current US$),2019,2210.35592258865
Ghana,GDP per capita (current US$),2020,2328.53464211079
Gibraltar,GDP per capita (current US$),2018,
Gibraltar,GDP per capita (current US$),2019,
Gibraltar,GDP per capita (current US$),2020,
Guinea,GDP per capita (current US$),2018,955.11128113689
Guinea,GDP per capita (current US$),2019,1058.14336817318
Guinea,GDP per capita (current US$),2020,1194.03786469464
"Gambia, The",GDP per capita (current US$),2018,732.720727318856
"Gambia, The",GDP per capita (current US$),2019,777.815245170251
"Gambia, The",GDP per capita (current US$),2020,787.006450894821
Guinea-Bissau,GDP per capita (current US$),2018,802.767385116156
Guinea-Bissau,GDP per capita (current US$),2019,749.453747028806
Guinea-Bissau,GDP per capita (current US$),2020,727.520171719562
Equatorial Guinea,GDP per capita (current US$),2018,10005.6167917268
Equatorial Guinea,GDP per capita (current US$),2019,8419.9333361253
Equatorial Guinea,GDP per capita (current US$),2020,7143.23870497146
Greece,GDP per capita (current US$),2018,19765.9964536083
Greece,GDP per capita (current US$),2019,19150.7861964985
Greece,GDP per capita (current US$),2020,17676.1924769339
Grenada,GDP per capita (current US$),2018,10486.3775924082
Grenada,GDP per capita (current US$),2019,10815.9113560803
Grenada,GDP per capita (current US$),2020,9680.17582544907
Greenland,GDP per capita (current US$),2018,54470.9563864255
Greenland,GDP per capita (current US$),2019,
Greenland,GDP per capita (current US$),2020,
Guatemala,GDP per capita (current US$),2018,4478.42464550944
Guatemala,GDP per capita (current US$),2019,4638.63494319511
Guatemala,GDP per capita (current US$),2020,4603.33961670975
Guam,GDP per capita (current US$),2018,36502.3828195693
Guam,GDP per capita (current US$),2019,37723.7813443319
Guam,GDP per capita (current US$),2020,
Guyana,GDP per capita (current US$),2018,6145.81874291394
Guyana,GDP per capita (current US$),2019,6609.51043084801
Guyana,GDP per capita (current US$),2020,6955.93921717789
High income,GDP per capita (current US$),2018,45114.3603938187
High income,GDP per capita (current US$),2019,45297.7178653611
High income,GDP per capita (current US$),2020,43833.9315581079
"Hong Kong SAR, China",GDP per capita (current US$),2018,48542.6818699161
"Hong Kong SAR, China",GDP per capita (current US$),2019,48354.473367413
"Hong Kong SAR, China",GDP per capita (current US$),2020,46323.8634424384
Honduras,GDP per capita (current US$),2018,2510.32294304191
Honduras,GDP per capita (current US$),2019,2574.35675105143
Honduras,GDP per capita (current US$),2020,2405.73284775141
Heavily indebted poor countries (HIPC),GDP per capita (current US$),2018,979.889988545419
Heavily indebted poor countries (HIPC),GDP per capita (current US$),2019,984.818942762602
Heavily indebted poor countries (HIPC),GDP per capita (current US$),2020,973.271854608424
Croatia,GDP per capita (current US$),2018,15014.0850191716
Croatia,GDP per capita (current US$),2019,14944.3562248936
Croatia,GDP per capita (current US$),2020,13828.4695048846
Haiti,GDP per capita (current US$),2018,1435.35085222052
Haiti,GDP per capita (current US$),2019,1272.49069871548
Haiti,GDP per capita (current US$),2020,1176.75581952799
Hungary,GDP per capita (current US$),2018,16411.4411105738
Hungary,GDP per capita (current US$),2019,16733.3221691387
Hungary,GDP per capita (current US$),2020,15899.1482797158
IBRD only,GDP per capita (current US$),2018,6415.15464943783
IBRD only,GDP per capita (current US$),2019,6510.72745549546
IBRD only,GDP per capita (current US$),2020,6187.68569657553
IDA & IBRD total,GDP per capita (current US$),2018,5127.06154120442
IDA & IBRD total,GDP per capita (current US$),2019,5192.12977669411
IDA & IBRD total,GDP per capita (current US$),2020,4929.86114055141
IDA total,GDP per capita (current US$),2018,1364.1094638335
IDA total,GDP per capita (current US$),2019,1396.32034918337
IDA total,GDP per capita (current US$),2020,1364.15783389017
IDA blend,GDP per capita (current US$),2018,1747.50659361145
IDA blend,GDP per capita (current US$),2019,1758.03592731882
IDA blend,GDP per capita (current US$),2020,1664.26013052587
Indonesia,GDP per capita (current US$),2018,3893.85957814877
Indonesia,GDP per capita (current US$),2019,4135.20153132694
Indonesia,GDP per capita (current US$),2020,3869.58842704537
IDA only,GDP per capita (current US$),2018,1172.22822140323
IDA only,GDP per capita (current US$),2019,1217.40814707659
IDA only,GDP per capita (current US$),2020,1219.77562328603
Isle of Man,GDP per capita (current US$),2018,89112.6677158571
Isle of Man,GDP per capita (current US$),2019,
Isle of Man,GDP per capita (current US$),2020,
India,GDP per capita (current US$),2018,1996.91508739755
India,GDP per capita (current US$),2019,2100.75146060783
India,GDP per capita (current US$),2020,1900.70680971528
Not classified,GDP per capita (current US$),2018,
Not classified,GDP per capita (current US$),2019,
Not classified,GDP per capita (current US$),2020,
Ireland,GDP per capita (current US$),2018,79297.729203754
Ireland,GDP per capita (current US$),2019,80778.8296145658
Ireland,GDP per capita (current US$),2020,83812.8029661508
"Iran, Islamic Rep.",GDP per capita (current US$),2018,3598.48345396129
"Iran, Islamic Rep.",GDP per capita (current US$),2019,3114.62275284063
"Iran, Islamic Rep.",GDP per capita (current US$),2020,2282.55186460415
Iraq,GDP per capita (current US$),2018,5523.07837548534
Iraq,GDP per capita (current US$),2019,5658.49226654047
Iraq,GDP per capita (current US$),2020,4157.48449469489
Iceland,GDP per capita (current US$),2018,74348.3622846255
Iceland,GDP per capita (current US$),2019,68883.1487741776
Iceland,GDP per capita (current US$),2020,59260.8871381682
Israel,GDP per capita (current US$),2018,41704.8285653125
Israel,GDP per capita (current US$),2019,43588.713153649
Israel,GDP per capita (current US$),2020,43610.5203308148
Italy,GDP per capita (current US$),2018,34608.6756017054
Italy,GDP per capita (current US$),2019,33566.7873041609
Italy,GDP per capita (current US$),2020,31676.2020987349
Jamaica,GDP per capita (current US$),2018,5359.99378939638
Jamaica,GDP per capita (current US$),2019,5369.4983713849
Jamaica,GDP per capita (current US$),2020,4664.52915035973
Jordan,GDP per capita (current US$),2018,4308.1510738997
Jordan,GDP per capita (current US$),2019,4405.48710929391
Jordan,GDP per capita (current US$),2020,4282.76582261085
Japan,GDP per capita (current US$),2018,39159.4235633952
Japan,GDP per capita (current US$),2019,40113.0609702277
Japan,GDP per capita (current US$),2020,
Kazakhstan,GDP per capita (current US$),2018,9812.62637077396
Kazakhstan,GDP per capita (current US$),2019,9812.5958082732
Kazakhstan,GDP per capita (current US$),2020,9055.74500903002
Kenya,GDP per capita (current US$),2018,1708.00142830255
Kenya,GDP per capita (current US$),2019,1816.54712375218
Kenya,GDP per capita (current US$),2020,1838.20996794042
Kyrgyz Republic,GDP per capita (current US$),2018,1308.13977921849
Kyrgyz Republic,GDP per capita (current US$),2019,1374.03113639092
Kyrgyz Republic,GDP per capita (current US$),2020,1173.61135576213
Cambodia,GDP per capita (current US$),2018,1512.12698889457
Cambodia,GDP per capita (current US$),2019,1643.12138876475
Cambodia,GDP per capita (current US$),2020,1512.72775264685
Kiribati,GDP per capita (current US$),2018,1698.32958680978
Kiribati,GDP per capita (current US$),2019,1655.05069337521
Kiribati,GDP per capita (current US$),2020,1670.82469059412
St. Kitts and Nevis,GDP per capita (current US$),2018,19276.5212674439
St. Kitts and Nevis,GDP per capita (current US$),2019,19773.4623748176
St. Kitts and Nevis,GDP per capita (current US$),2020,17435.9274299115
"Korea, Rep.",GDP per capita (current US$),2018,33422.9442100836
"Korea, Rep.",GDP per capita (current US$),2019,31846.2182324258
"Korea, Rep.",GDP per capita (current US$),2020,31489.1226973168
Kuwait,GDP per capita (current US$),2018,33399.060475851
Kuwait,GDP per capita (current US$),2019,32373.2511149607
Kuwait,GDP per capita (current US$),2020,
Latin America & Caribbean (excluding high income),GDP per capita (current US$),2018,8395.07435773172
Latin America & Caribbean (excluding high income),GDP per capita (current US$),2019,8213.07806273801
Latin America & Caribbean (excluding high income),GDP per capita (current US$),2020,6733.11238457868
Lao PDR,GDP per capita (current US$),2018,2542.48976862177
Lao PDR,GDP per capita (current US$),2019,2544.95255026876
Lao PDR,GDP per capita (current US$),2020,2630.20377393196
Lebanon,GDP per capita (current US$),2018,8012.53923684943
Lebanon,GDP per capita (current US$),2019,7583.69914645363
Lebanon,GDP per capita (current US$),2020,4891.00147031944
Liberia,GDP per capita (current US$),2018,677.322319098497
Liberia,GDP per capita (current US$),2019,621.892953622715
Liberia,GDP per capita (current US$),2020,583.271727316711
Libya,GDP per capita (current US$),2018,7877.12460954542
Libya,GDP per capita (current US$),2019,7685.94813248318
Libya,GDP per capita (current US$),2020,3699.22862081017
St. Lucia,GDP per capita (current US$),2018,11357.8265659139
St. Lucia,GDP per capita (current US$),2019,11611.0978398185
St. Lucia,GDP per capita (current US$),2020,9276.11782856052
Latin America & Caribbean,GDP per capita (current US$),2018,9158.44096357042
Latin America & Caribbean,GDP per capita (current US$),2019,8951.81151679876
Latin America & Caribbean,GDP per capita (current US$),2020,7417.25216695846
Least developed countries: UN classification,GDP per capita (current US$),2018,1065.29110556022
Least developed countries: UN classification,GDP per capita (current US$),2019,1094.89440023069
Least developed countries: UN classification,GDP per capita (current US$),2020,1068.79814047712
Low income,GDP per capita (current US$),2018,795.953159156766
Low income,GDP per capita (current US$),2019,820.896182299874
Low income,GDP per capita (current US$),2020,821.862930833469
Liechtenstein,GDP per capita (current US$),2018,180366.715197575
Liechtenstein,GDP per capita (current US$),2019,
Liechtenstein,GDP per capita (current US$),2020,
Sri Lanka,GDP per capita (current US$),2018,4058.80351094171
Sri Lanka,GDP per capita (current US$),2019,3851.56098951535
Sri Lanka,GDP per capita (current US$),2020,3682.03842459282
Lower middle income,GDP per capita (current US$),2018,2264.39293950186
Lower middle income,GDP per capita (current US$),2019,2352.78369418807
Lower middle income,GDP per capita (current US$),2020,2200.40175761132
Low & middle income,GDP per capita (current US$),2018,4944.43271902466
Low & middle income,GDP per capita (current US$),2019,5012.75487528986
Low & middle income,GDP per capita (current US$),2020,4759.24426146187
Lesotho,GDP per capita (current US$),2018,1192.4843195181
Lesotho,GDP per capita (current US$),2019,1113.37214033581
Lesotho,GDP per capita (current US$),2020,861.014548091526
Late-demographic dividend,GDP per capita (current US$),2018,9849.86121253092
Late-demographic dividend,GDP per capita (current US$),2019,9989.87341778723
Late-demographic dividend,GDP per capita (current US$),2020,9758.44827151537
Lithuania,GDP per capita (current US$),2018,19166.812272892
Lithuania,GDP per capita (current US$),2019,19555.2110652539
Lithuania,GDP per capita (current US$),2020,19997.5925262112
Luxembourg,GDP per capita (current US$),2018,116597.295637954
Luxembourg,GDP per capita (current US$),2019,114685.168424149
Luxembourg,GDP per capita (current US$),2020,115873.602630203
Latvia,GDP per capita (current US$),2018,17849.5592976346
Latvia,GDP per capita (current US$),2019,17794.4786167812
Latvia,GDP per capita (current US$),2020,17619.9523907399
"Macao SAR, China",GDP per capita (current US$),2018,87554.7138573949
"Macao SAR, China",GDP per capita (current US$),2019,86117.6554287201
"Macao SAR, China",GDP per capita (current US$),2020,
St. Martin (French part),GDP per capita (current US$),2018,
St. Martin (French part),GDP per capita (current US$),2019,
St. Martin (French part),GDP per capita (current US$),2020,
Morocco,GDP per capita (current US$),2018,3226.98279356862
Morocco,GDP per capita (current US$),2019,3230.40972230151
Morocco,GDP per capita (current US$),2020,3009.24945958152
Monaco,GDP per capita (current US$),2018,185978.609251356
Monaco,GDP per capita (current US$),2019,190512.737442436
Monaco,GDP per capita (current US$),2020,
Moldova,GDP per capita (current US$),2018,4230.3630367862
Moldova,GDP per capita (current US$),2019,4494.01840306454
Moldova,GDP per capita (current US$),2020,4551.13067562421
Madagascar,GDP per capita (current US$),2018,518.401122965529
Madagascar,GDP per capita (current US$),2019,526.224572187396
Madagascar,GDP per capita (current US$),2020,495.490400891458
Maldives,GDP per capita (current US$),2018,10276.7733887971
Maldives,GDP per capita (current US$),2019,10626.4333466909
Maldives,GDP per capita (current US$),2020,7455.85572772295
Middle East & North Africa,GDP per capita (current US$),2018,7546.70135262957
Middle East & North Africa,GDP per capita (current US$),2019,7511.82308848217
Middle East & North Africa,GDP per capita (current US$),2020,6669.9034298081
Mexico,GDP per capita (current US$),2018,9686.51424383118
Mexico,GDP per capita (current US$),2019,9946.03382879198
Mexico,GDP per capita (current US$),2020,8346.70237883571
Marshall Islands,GDP per capita (current US$),2018,3793.55098267479
Marshall Islands,GDP per capita (current US$),2019,4073.10982973584
Marshall Islands,GDP per capita (current US$),2020,
Middle income,GDP per capita (current US$),2018,5399.04043125719
Middle income,GDP per capita (current US$),2019,5480.25080914898
Middle income,GDP per capita (current US$),2020,5207.28902381669
North Macedonia,GDP per capita (current US$),2018,6087.46831134253
North Macedonia,GDP per capita (current US$),2019,6022.24098997419
North Macedonia,GDP per capita (current US$),2020,5888.00401517897
Mali,GDP per capita (current US$),2018,894.804776510366
Mali,GDP per capita (current US$),2019,879.122775162059
Mali,GDP per capita (current US$),2020,858.915805496235
Malta,GDP per capita (current US$),2018,30672.2922439038
Malta,GDP per capita (current US$),2019,30186.1959621979
Malta,GDP per capita (current US$),2020,27884.6428274251
Myanmar,GDP per capita (current US$),2018,1279.08975591511
Myanmar,GDP per capita (current US$),2019,1477.35536778794
Myanmar,GDP per capita (current US$),2020,1400.21824189956
Middle East & North Africa (excluding high income),GDP per capita (current US$),2018,3501.87076686937
Middle East & North Africa (excluding high income),GDP per capita (current US$),2019,3507.50757458945
Middle East & North Africa (excluding high income),GDP per capita (current US$),2020,3066.22535513271
Montenegro,GDP per capita (current US$),2018,8850.09463079793
Montenegro,GDP per capita (current US$),2019,8910.65155409448
Montenegro,GDP per capita (current US$),2020,7686.09294918651
Mongolia,GDP per capita (current US$),2018,4134.97937229071
Mongolia,GDP per capita (current US$),2019,4339.84462487314
Mongolia,GDP per capita (current US$),2020,4007.30888507766
Northern Mariana Islands,GDP per capita (current US$),2018,22886.6740494647
Northern Mariana Islands,GDP per capita (current US$),2019,20659.6402915421
Northern Mariana Islands,GDP per capita (current US$),2020,
Mozambique,GDP per capita (current US$),2018,503.317925171139
Mozambique,GDP per capita (current US$),2019,503.57065659174
Mozambique,GDP per capita (current US$),2020,448.607453580724
Mauritania,GDP per capita (current US$),2018,1601.29193164614
Mauritania,GDP per capita (current US$),2019,1679.44260484157
Mauritania,GDP per capita (current US$),2020,1672.9235348238
Mauritius,GDP per capita (current US$),2018,11208.3273037494
Mauritius,GDP per capita (current US$),2019,11097.5869332309
Mauritius,GDP per capita (current US$),2020,8622.67551491013
Malawi,GDP per capita (current US$),2018,535.351345663708
Malawi,GDP per capita (current US$),2019,583.110203584039
Malawi,GDP per capita (current US$),2020,625.29412916014
Malaysia,GDP per capita (current US$),2018,11377.6542013813
Malaysia,GDP per capita (current US$),2019,11414.2026894664
Malaysia,GDP per capita (current US$),2020,10401.7940137994
North America,GDP per capita (current US$),2018,61381.7198451523
North America,GDP per capita (current US$),2019,63341.7836383808
North America,GDP per capita (current US$),2020,61453.1340591874
Namibia,GDP per capita (current US$),2018,5587.98561266432
Namibia,GDP per capita (current US$),2019,5037.34262919263
Namibia,GDP per capita (current US$),2020,4211.05092913395
New Caledonia,GDP per capita (current US$),2018,
New Caledonia,GDP per capita (current US$),2019,
New Caledonia,GDP per capita (current US$),2020,
Niger,GDP per capita (current US$),2018,572.430138463628
Niger,GDP per capita (current US$),2019,553.894955335826
Niger,GDP per capita (current US$),2020,565.06133311838
Nigeria,GDP per capita (current US$),2018,2027.77854863842
Nigeria,GDP per capita (current US$),2019,2229.8586518613
Nigeria,GDP per capita (current US$),2020,2097.09247289022
Nicaragua,GDP per capita (current US$),2018,2014.57028700455
Nicaragua,GDP per capita (current US$),2019,1926.69969398276
Nicaragua,GDP per capita (current US$),2020,1905.25675597599
Netherlands,GDP per capita (current US$),2018,53018.6293562696
Netherlands,GDP per capita (current US$),2019,52295.0390498713
Netherlands,GDP per capita (current US$),2020,52304.0573851896
Norway,GDP per capita (current US$),2018,82267.809316159
Norway,GDP per capita (current US$),2019,75826.0818834173
Norway,GDP per capita (current US$),2020,67294.4769786693
Nepal,GDP per capita (current US$),2018,1178.52593245237
Nepal,GDP per capita (current US$),2019,1194.95687572575
Nepal,GDP per capita (current US$),2020,1155.14285440358
Nauru,GDP per capita (current US$),2018,11614.665076832
Nauru,GDP per capita (current US$),2019,10983.2246492424
Nauru,GDP per capita (current US$),2020,
New Zealand,GDP per capita (current US$),2018,43306.0700032372
New Zealand,GDP per capita (current US$),2019,41999.3682892979
New Zealand,GDP per capita (current US$),2020,41791.79308952
OECD members,GDP per capita (current US$),2018,39268.5633775161
OECD members,GDP per capita (current US$),2019,39412.0995905473
OECD members,GDP per capita (current US$),2020,37975.9137742939
Oman,GDP per capita (current US$),2018,16521.2062279529
Oman,GDP per capita (current US$),2019,15343.0435000855
Oman,GDP per capita (current US$),2020,
Other small states,GDP per capita (current US$),2018,14402.7510361382
Other small states,GDP per capita (current US$),2019,13821.3399571813
Other small states,GDP per capita (current US$),2020,11821.745902342
Pakistan,GDP per capita (current US$),2018,1482.21306651797
Pakistan,GDP per capita (current US$),2019,1284.70204683255
Pakistan,GDP per capita (current US$),2020,1193.73339713731
Panama,GDP per capita (current US$),2018,15544.7335180331
Panama,GDP per capita (current US$),2019,15727.9744915741
Panama,GDP per capita (current US$),2020,12269.0489963771
Peru,GDP per capita (current US$),2018,6957.79341149359
Peru,GDP per capita (current US$),2019,7027.61220697723
Peru,GDP per capita (current US$),2020,6126.87453978867
Philippines,GDP per capita (current US$),2018,3252.11027410024
Philippines,GDP per capita (current US$),2019,3485.3408438977
Philippines,GDP per capita (current US$),2020,3298.8298514292
Palau,GDP per capita (current US$),2018,15657.1771537044
Palau,GDP per capita (current US$),2019,14907.777345703
Palau,GDP per capita (current US$),2020,
Papua New Guinea,GDP per capita (current US$),2018,2801.37139302915
Papua New Guinea,GDP per capita (current US$),2019,2829.16708525376
Papua New Guinea,GDP per capita (current US$),2020,2636.8002494333
Poland,GDP per capita (current US$),2018,15468.4094107719
Poland,GDP per capita (current US$),2019,15694.8408238857
Poland,GDP per capita (current US$),2020,15656.1827308666
Pre-demographic dividend,GDP per capita (current US$),2018,1449.09968091231
Pre-demographic dividend,GDP per capita (current US$),2019,1481.0426284821
Pre-demographic dividend,GDP per capita (current US$),2020,1342.48239073085
Puerto Rico,GDP per capita (current US$),2018,31604.7015144578
Puerto Rico,GDP per capita (current US$),2019,32850.5486123592
Puerto Rico,GDP per capita (current US$),2020,32290.9211360931
"Korea, Dem. People's Rep.",GDP per capita (current US$),2018,
